PlotID,prefire_LCC,treeheight_mean,BA_HA,QMD,stems_ha,livecancov_loss,deadneedle,deepchar_mean,prop_killedBA,prop_killedSTEM,prop_meanbolescorch,prop_meancharht,prop_surfcharmean,TotalPlotCBI_mean
NORS17,0.792600755,21.34,39.04705556,21.902006,778,1,6,0,1,1,1,0.97,0.9,2.94
NORS18,0.82036086,29.625,51.70120202,25.202294,778,1,5.95,0,1,1,1,1,0.98,2.984
NORS19,0.895781894,21.155,68.4804676,26.717459,611,1,6,0.05,1,1,1,0.99,1,2.984
NORS2,0.817726556,28.505,40.85896669,21.224387,578,1,6,0,1,1,1,0.98,0.99,2.987
NORS20,0.763398118,17.62,47.87428693,27.805463,789,1,6.1,0.15,1,1,1,1,0.98,2.992
NORS21,0.915929173,29.58,64.88762192,32.601685,389,1,6,0.2,1,1,1,1,0.98,2.986666667
NORS22,0.817520052,21.385,45.20484839,17.427147,1422,1,6,0.1,1,1,1,1,0.99,2.945
NORS23,0.864484999,23.965,60.72999923,45.935961,367,1,6,0.7,1,1,1,1,1,2.992
NORS24,0.888223653,25.685,62.01996826,29.629983,900,1,6,0,1,1,1,1,0.99,2.992
NORS3,0.892886971,34.425,57.61445448,33.18167,667,0,0,0.05,0.153534027,0.4,0.85,0.05,0.16,0.917
NORS4,0.781142236,26.15,42.33057184,19.67895,1044,1,5.85,0,1,1,1,0.51,0.34,2.72625
NORS5,0.859196249,32.97,49.47379767,31.09568,489,1,5.95,0,1,1,1,0.87,0.85,2.923
NORS6,0.878790704,32.71,55.37694275,28.172646,889,1,6,0,1,1,1,0.43,0.67,2.709
NORS7,0.944382737,31.41,78.10283694,35.025159,811,0.36,2.75,0,0.349356505,0.58823529,0.96,0.15,0.07,1.893
NORS8,0.801805809,29.695,37.43147481,23.764015,422,1,6,0.1,1,1,1,0.77,0.64,2.678
NORS9,0.972543043,34.045,95.36376634,47.23912,544,0.05,0.85,0,0.132882294,0.36170213,1,0.38,0.16,2.1025
